Month,plant,count,total,proportion
1,BP,4704,23588,0.199423436
1,LC,2611,23588,0.110691877
1,RG,2562,23588,0.10861455
1,SV,2253,23588,0.095514668
1,RS,1671,23588,0.070841106
1,PN,776,23588,0.032898084
1,RA,641,23588,0.027174835
1,DN,577,23588,0.024461591
1,GU,572,23588,0.024249618
1,FA,549,23588,0.023274546
1,MZ,509,23588,0.021578769
1,MC,345,23588,0.014626081
1,TR,330,23588,0.013990164
1,SG,305,23588,0.012930304
1,HR,290,23588,0.012294387
1,PP,284,23588,0.01204002
1,HC,236,23588,0.010005087
1,ST,225,23588,0.009538749
1,BS,196,23588,0.00830931
1,VI,196,23588,0.00830931
1,FL,174,23588,0.007376632
1,BF,173,23588,0.007334238
1,MN,173,23588,0.007334238
1,RC,162,23588,0.006867899
1,AC,160,23588,0.00678311
1,OK,150,23588,0.006359166
1,OP,136,23588,0.005765644
1,MY,108,23588,0.004578599
1,FG,107,23588,0.004536205
1,PA,98,23588,0.004154655
2,LC,4020,23362,0.172074309
2,GU,2911,23362,0.124604058
2,MN,1797,23362,0.076919784
2,ST,1708,23362,0.073110179
2,RA,1544,23362,0.066090232
2,BP,1053,23362,0.045073196
2,SG,968,23362,0.041434809
2,FG,799,23362,0.034200839
2,HR,730,23362,0.031247325
2,BS,718,23362,0.03073367
2,PM,568,23362,0.024312987
2,RS,555,23362,0.023756528
2,PN,474,23362,0.020289359
2,SV,353,23362,0.015110008
2,CB,251,23362,0.010743943
2,DN,235,23362,0.01005907
2,EM,219,23362,0.009374197
2,FL,203,23362,0.008689325
2,TO,159,23362,0.006805924
2,SA,151,23362,0.006463488
2,RG,149,23362,0.006377879
2,TP,128,23362,0.005478983
2,AN,107,23362,0.004580087
2,GE,101,23362,0.00432326
2,TR,101,23362,0.00432326
2,SB,93,23362,0.003980824
2,AR,87,23362,0.003723996
2,CS,80,23362,0.003424364
2,VI,67,23362,0.002867905
2,PA,63,23362,0.002696687
3,ST,4799,24001,0.199950002
3,MN,2953,24001,0.12303654
3,BS,2691,24001,0.112120328
3,LC,1937,24001,0.080704971
3,GU,1416,24001,0.058997542
3,AO,1041,24001,0.043373193
3,EM,962,24001,0.040081663
3,DD,691,24001,0.028790467
3,AR,564,24001,0.023499021
3,RA,497,24001,0.020707471
3,AE,496,24001,0.020665806
3,CB,486,24001,0.020249156
3,HR,463,24001,0.019290863
3,SG,450,24001,0.018749219
3,FG,447,24001,0.018624224
3,TB,286,24001,0.01191617
3,JO,262,24001,0.010916212
3,PN,190,24001,0.007916337
3,CO,164,24001,0.006833049
3,CU,147,24001,0.006124745
3,BL,140,24001,0.00583309
3,CS,125,24001,0.005208116
3,MP,111,24001,0.004624807
3,PA,111,24001,0.004624807
3,BP,109,24001,0.004541477
3,GE,103,24001,0.004291488
3,SB,100,24001,0.004166493
3,MG,85,24001,0.003541519
3,RS,83,24001,0.003458189
3,DR,82,24001,0.003416524
4,ST,3944,15141,0.260484776
4,MN,1615,15141,0.106664025
4,BS,1387,15141,0.091605574
4,CO,928,15141,0.061290536
4,AO,899,15141,0.059375206
4,AE,848,15141,0.056006869
4,LC,709,15141,0.046826498
4,CB,425,15141,0.02806948
4,AR,405,15141,0.026748564
4,TB,285,15141,0.018823063
4,DD,271,15141,0.017898422
4,EM,253,15141,0.016709596
4,JO,204,15141,0.013473351
4,CU,188,15141,0.012416617
4,FG,170,15141,0.011227792
4,GA,144,15141,0.0095106
4,MG,103,15141,0.006802721
4,GU,101,15141,0.006670629
4,LM,83,15141,0.005481804
4,GR,82,15141,0.005415759
4,HR,80,15141,0.005283667
4,BP,73,15141,0.004821346
4,AT,72,15141,0.0047553
4,SQ,69,15141,0.004557163
4,PN,52,15141,0.003434383
4,BL,51,15141,0.003368338
4,RA,50,15141,0.003302292
4,PA,42,15141,0.002773925
4,SB,41,15141,0.002707879
4,PS,40,15141,0.002641833
5,ST,4562,16125,0.282914729
5,MN,2661,16125,0.165023256
5,RB,989,16125,0.061333333
5,LC,834,16125,0.05172093
5,CB,556,16125,0.03448062
5,GA,540,16125,0.033488372
5,TB,378,16125,0.02344186
5,NA,345,16125,0.021395349
5,CO,337,16125,0.020899225
5,AO,313,16125,0.019410853
5,BS,292,16125,0.018108527
5,LM,243,16125,0.015069767
5,FG,182,16125,0.011286822
5,AR,163,16125,0.010108527
5,BP,154,16125,0.009550388
5,CU,135,16125,0.008372093
5,SE,129,16125,0.008
5,SV,111,16125,0.006883721
5,AT,109,16125,0.00675969
5,SQ,105,16125,0.006511628
5,NB,104,16125,0.006449612
5,MG,95,16125,0.005891473
5,PS,91,16125,0.005643411
5,GR,90,16125,0.005581395
5,JO,71,16125,0.004403101
5,NC,64,16125,0.003968992
5,GU,58,16125,0.003596899
5,SB,56,16125,0.003472868
5,HR,56,16125,0.003472868
5,FL,55,16125,0.003410853
6,NA,1935,9524,0.203170937
6,MN,1297,9524,0.136182276
6,PR,1064,9524,0.111717766
6,FG,616,9524,0.064678706
6,ST,536,9524,0.056278874
6,LC,435,9524,0.045674087
6,RB,299,9524,0.031394372
6,CB,277,9524,0.029084418
6,BP,218,9524,0.022889542
6,GA,211,9524,0.022154557
6,DO,203,9524,0.021314574
6,HC,197,9524,0.020684586
6,SE,173,9524,0.018164637
6,TB,134,9524,0.014069719
6,SV,122,9524,0.012809744
6,OK,107,9524,0.011234775
6,BA,95,9524,0.009974801
6,FL,84,9524,0.008819824
6,MG,76,9524,0.00797984
6,AO,68,9524,0.007139857
6,MO,64,9524,0.006719866
6,AT,55,9524,0.005774885
6,TA,41,9524,0.004304914
6,NC,38,9524,0.00398992
6,CU,35,9524,0.003674927
6,MZ,32,9524,0.003359933
6,AR,32,9524,0.003359933
6,OT,30,9524,0.003149937
6,SQ,29,9524,0.003044939
6,SB,29,9524,0.003044939
7,PR,2216,11113,0.199406101
7,NA,2019,11113,0.181679115
7,OT,1333,11113,0.119949609
7,MN,971,11113,0.087375146
7,MO,582,11113,0.052371097
7,LC,548,11113,0.049311617
7,PF,298,11113,0.026815441
7,BP,258,11113,0.023216053
7,HC,251,11113,0.02258616
7,FG,236,11113,0.02123639
7,TA,227,11113,0.020426527
7,OK,202,11113,0.01817691
7,DO,169,11113,0.015207415
7,BA,142,11113,0.012777828
7,FL,99,11113,0.008908486
7,ST,92,11113,0.008278593
7,SV,61,11113,0.005489067
7,FB,54,11113,0.004859174
7,CB,52,11113,0.004679205
7,GA,50,11113,0.004499235
7,GM,46,11113,0.004139296
7,BO,46,11113,0.004139296
7,RR,34,11113,0.00305948
7,BS,30,11113,0.002699541
7,AL,26,11113,0.002339602
7,SH,25,11113,0.002249618
7,CE,25,11113,0.002249618
7,SP,24,11113,0.002159633
7,AT,20,11113,0.001799694
7,MG,13,11113,0.001169801
8,OT,2378,12374,0.192177146
8,AL,1439,12374,0.116292226
8,PR,1311,12374,0.105947955
8,HC,968,12374,0.078228544
8,PF,551,12374,0.044528851
8,NA,520,12374,0.042023598
8,FB,494,12374,0.039922418
8,OK,489,12374,0.039518345
8,MN,488,12374,0.03943753
8,BP,422,12374,0.034103766
8,LC,375,12374,0.030305479
8,HP,264,12374,0.021335057
8,FG,234,12374,0.018910619
8,MO,215,12374,0.017375141
8,SV,185,12374,0.014950703
8,WG,170,12374,0.013738484
8,XP,134,12374,0.010829158
8,MT,101,12374,0.008162276
8,BS,72,12374,0.005818652
8,TA,59,12374,0.004768062
8,BT,57,12374,0.004606433
8,AT,55,12374,0.004444804
8,DO,43,12374,0.003475028
8,SP,42,12374,0.003394214
8,GR,41,12374,0.003313399
8,FL,33,12374,0.002666882
8,BO,32,12374,0.002586068
8,BF,30,12374,0.002424438
8,CB,29,12374,0.002343624
8,JM,28,12374,0.002262809
9,AL,2336,11083,0.210773256
9,HC,1158,11083,0.104484345
9,WG,986,11083,0.088965082
9,BP,980,11083,0.088423712
9,FB,851,11083,0.076784264
9,HP,309,11083,0.027880538
9,BS,268,11083,0.024181178
9,SV,266,11083,0.024000722
9,FG,244,11083,0.0220157
9,MT,238,11083,0.02147433
9,PR,238,11083,0.02147433
9,SS,234,11083,0.021113417
9,NA,205,11083,0.018496797
9,EP,197,11083,0.017774971
9,OT,169,11083,0.015248579
9,MM,167,11083,0.015068122
9,PF,143,11083,0.012902644
9,OK,118,11083,0.010646937
9,LC,102,11083,0.009203284
9,XP,102,11083,0.009203284
9,JM,96,11083,0.008661915
9,BF,79,11083,0.007128034
9,PV,60,11083,0.005413697
9,DO,58,11083,0.00523324
9,AT,54,11083,0.004872327
9,AO,44,11083,0.003970044
9,TR,42,11083,0.003789588
9,MO,29,11083,0.00261662
9,HM,29,11083,0.00261662
9,AS,29,11083,0.00261662
10,BP,1643,8640,0.190162037
10,SV,1063,8640,0.123032407
10,AL,676,8640,0.078240741
10,EP,619,8640,0.071643519
10,HC,598,8640,0.069212963
10,SS,558,8640,0.064583333
10,BS,520,8640,0.060185185
10,FB,466,8640,0.053935185
10,FG,371,8640,0.042939815
10,WG,224,8640,0.025925926
10,MC,184,8640,0.021296296
10,JM,127,8640,0.014699074
10,BF,91,8640,0.010532407
10,OK,81,8640,0.009375
10,MM,72,8640,0.008333333
10,TR,52,8640,0.006018519
10,DO,49,8640,0.005671296
10,AS,37,8640,0.004282407
10,PB,34,8640,0.003935185
10,LC,33,8640,0.003819444
10,MB,26,8640,0.003009259
10,HP,26,8640,0.003009259
10,CY,22,8640,0.002546296
10,PR,22,8640,0.002546296
10,PP,21,8640,0.002430556
10,CI,21,8640,0.002430556
10,UV,19,8640,0.002199074
10,AC,17,8640,0.001967593
10,MN,16,8640,0.001851852
10,RY,15,8640,0.001736111
11,SV,2700,11888,0.227119785
11,BP,2348,11888,0.197510094
11,MC,1875,11888,0.157722073
11,HC,911,11888,0.076631898
11,SS,723,11888,0.060817631
11,BS,605,11888,0.050891655
11,BF,187,11888,0.015730148
11,RG,177,11888,0.014888964
11,FG,143,11888,0.012028937
11,LC,121,11888,0.010178331
11,EP,110,11888,0.009253028
11,DN,85,11888,0.007150067
11,TR,84,11888,0.007065949
11,OK,79,11888,0.006645357
11,AS,76,11888,0.006393001
11,PP,69,11888,0.005804172
11,JM,55,11888,0.004626514
11,OT,53,11888,0.004458277
11,FA,48,11888,0.004037685
11,DO,46,11888,0.003869448
11,PB,45,11888,0.00378533
11,MZ,44,11888,0.003701211
11,RS,43,11888,0.003617093
11,RC,37,11888,0.003112382
11,HM,36,11888,0.003028264
11,PA,34,11888,0.002860027
11,ME,33,11888,0.002775908
11,FB,33,11888,0.002775908
11,AL,24,11888,0.002018843
11,CC,24,11888,0.002018843
12,BP,4183,19023,0.21989171
12,SV,3288,19023,0.1728434
12,RG,2819,19023,0.148189034
12,MC,2318,19023,0.121852494
12,HC,712,19023,0.037428376
12,BS,520,19023,0.027335331
12,LC,441,19023,0.023182463
12,BF,389,19023,0.02044893
12,MZ,370,19023,0.019450139
12,RS,370,19023,0.019450139
12,PP,326,19023,0.01713715
12,DN,253,19023,0.01329969
12,FA,250,19023,0.013141986
12,FG,154,19023,0.008095463
12,OK,144,19023,0.007569784
12,RC,125,19023,0.006570993
12,LS,100,19023,0.005256794
12,TR,91,19023,0.004783683
12,RA,86,19023,0.004520843
12,AS,67,19023,0.003522052
12,PA,64,19023,0.003364348
12,SS,62,19023,0.003259213
12,PN,54,19023,0.002838669
12,HR,50,19023,0.002628397
12,AC,38,19023,0.001997582
12,MY,23,19023,0.001209063
12,ST,17,19023,0.000893655
12,VI,17,19023,0.000893655
12,MP,16,19023,0.000841087
12,BB,15,19023,0.000788519